doc_id,file_name,table_number,table_title,subentry_index,subentry_label,subentry_printed_page,subentry_page_index_estimate
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,6,"Relative Birthplaces of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",4,IV.—South Australia,1130,27
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,6,"Relative Birthplaces of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",5,V.—Western Australia,1132,29
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,6,"Relative Birthplaces of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",6,VI.—Tasmania,1132,29
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,6,"Relative Birthplaces of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",7,VII.—Northern Territory,1134,31
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,6,"Relative Birthplaces of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",8,VIII.—Federal Capital Territory,1134,31
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",1,I.—New South Wales,1146,43
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",2,II.—Victoria,1148,45
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",3,III.—Queensland,1150,47
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",4,IV.—South Australia,1152,49
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",5,V.—Western Australia,1154,51
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",6,VI.—Tasmania,1156,53
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",7,VII.—Northern Territory,1158,55
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,15,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Religion and Age",8,VIII.—Federal Capital Territory,1158,55
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",1,I.—New South Wales,1162,59
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",2,II.—Victoria,1166,63
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",3,III.—Queensland,1168,65
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",4,IV.—South Australia,1172,69
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",5,V.—Western Australia,1174,71
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",6,VI.—Tasmania,1178,75
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",7,VII.—Northern Territory,1180,77
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,17,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Birthplace and Age",8,VIII.—Federal Capital Territory,1182,79
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",1,I.—New South Wales,1184,81
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",2,II.—Victoria,1184,81
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",3,III.—Queensland,1184,81
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",4,IV.—South Australia,1186,83
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",5,V.—Western Australia,1186,83
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",6,VI.—Tasmania,1186,83
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",7,VII.—Northern Territory,1186,83
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,19,"Average Issue of Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Duration of Marriage and Age",8,VIII.—Federal Capital Territory,1186,83
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,20,"Average Issue of Husbands in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Occupation, Grade and Age",1,I.—All Grades,1188,85
