total_id,group,area_unit,area,males,females,persons,persons_per_area,occupied_dwellings,dwellings_per_area,population_per_dwelling,source_pdf,source_pdf_sha256,source_page_index,source_pdf_page,source_printed_page,source_table_number_printed,source_row_y,source_image,transcription_method
municipality_subtotal,municipality,acres,1916800,514873,526886,1041759,0.54,206312,0.108,5.05,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,184,185,2033,68,705,output/extract_table68/evidence/pdf_page_185.png,manual_image_transcription
shire_subtotal,shire,square_miles,181201,323759,255204,578963,3.20,120517,0.665,4.80,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,702,output/extract_table68/evidence/pdf_page_187.png,manual_image_transcription
municipality_summary,municipality,acres,1916800,514873,526886,1041759,0.54,206312,0.108,5.05,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,741,output/extract_table68/evidence/pdf_page_187.png,manual_image_transcription
shire_summary,shire,square_miles,181201,323759,255204,578963,3.20,120517,0.665,4.80,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,757,output/extract_table68/evidence/pdf_page_187.png,manual_image_transcription
not_incorporated_summary,not_incorporated,square_miles,125264,11589,6372,17961,0.14,4147,0.033,4.33,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,765,output/extract_table68/evidence/pdf_page_187.png,manual_image_transcription
whole_state_summary,whole_state,square_miles,309460,850221,788462,1638683,5.30,330976,1.070,4.95,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,781,output/extract_table68/evidence/pdf_page_187.png,manual_image_transcription
shipping_summary,shipping,not_applicable,,7477,574,8051,,,,,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,789,output/extract_table68/evidence/pdf_page_187.png,manual_image_transcription
total_population,total_population,not_applicable,,857698,789036,1646734,,,,,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,805,output/extract_table68/evidence/pdf_page_187.png,manual_image_transcription
