doc_id,pdf_page,decision,table_numbers,notes,updated_at
1911_census_volume_iii_part_xiii_dwellings,57,correct_match,31,,2026-09-22T04:56:41+00:00
1911_census_volume_iii_part_xiii_dwellings,186,correct_match,69,"Area, pop, density, dwellings by LGA",2026-09-22T04:57:01+00:00
1911_census_volume_iii_part_xii_occupations,363,correct_match,35,female population,2026-09-22T04:57:16+00:00
1911_census_volume_iii_part_xii_occupations,411,correct_match,51,,2026-09-22T04:57:20+00:00
1911_census_volume_iii_part_xii_occupations,423,correct_match,57,,2026-09-22T04:57:24+00:00
1911_census_volume_iii_part_xii_occupations,429,correct_match,60,,2026-09-22T04:57:26+00:00
1911_census_volume_iii_part_xii_occupations,431,correct_match,61,,2026-09-22T04:57:29+00:00
1911_census_volume_iii_part_xii_occupations,435,correct_match,63,,2026-09-22T04:57:34+00:00
